,,,,,,,,,Afroasiatic,,,,European,,,Indo_Iranian,,,Sino_Tibetan,,,,,
Model,Excl Classes,Undersampling,Smoting,Scaling,*Params,f_per_word,num_words,Accuracy,Precision,,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Avg Precision,Avg Recall,F1 Score
SVM – speaker,indo afro,,,yes,class_weight=balanced,10,6,0.92057484,,,,,0.93381186,0.98257297,0.9575720683,,,,0.59636364,0.27396339,0.3754492251,0.76508775,0.62826818,0.6665106467
SVM – word,indo afro,,,,class_weight=balanced,10,,0.88800987,,,,,0.94154093,0.93581006,0.9386667479,,,,0.37111466,0.39707563,0.3836564699,0.656327795,0.666442845,0.6611616089
SVM – speaker,indo afro,,,,class_weight=balanced,10,6,0.92058117,,,,,0.93234401,0.98429413,0.9576150208,,,,0.63398601,0.25583333,0.3645565899,0.78316501,0.62006373,0.6610858054
SVM – speaker,indo,,,,class_weight=balanced,10,5,0.7917926,0.37331932,,0.48503459,0.4219070507,0.87913029,0.87854786,0.8788389785,,,,0.5594672,0.32076306,0.4077487885,0.60397227,0.5614485033,0.5694982726
SVM – speaker,indo,,,,class_weight=balanced,10,6,0.7910508,0.34737423,,0.4356199,0.3865242957,0.87351221,0.88353157,0.8784933228,,,,0.64002468,0.33095238,0.4362980339,0.6203037067,0.5500346167,0.5671052175
SVM – speaker,indo,,,,class_weight=balanced,10,7,0.78611884,0.34314459,,0.42822773,0.3809937822,0.86926619,0.88618495,0.8776440398,,,,0.52105672,0.28316188,0.3669236211,0.5778225,0.5325248533,0.5418538144
SVM – speaker,indo,0.75,,,,10,6,0.57525151,0.57338785,,0.75292256,0.6510039349,0.46333333,0.25498153,0.3289405467,,,,0.6561983,0.5976817,0.6255745613,0.5643064933,0.5351952633,0.5351730143
SVM – speaker,,,,,class_weight=balanced,10,6,0.71731496,0.30773306,,0.41476025,0.3533193709,0.8394648,0.84517242,0.8423089412,0.35988095,0.32258748,0.3402152646,0.54333333,0.29266322,0.3804170768,0.512603035,0.4687958425,0.4790651634
SVM – speaker,,,,yes,class_weight=balanced,10,12,0.7471093,0.39931056,,0.2712089,0.3230229224,0.80827579,0.91631352,0.8589106171,0.36064593,0.2413862,0.2892036695,0.61312021,0.29166763,0.3952911625,0.5453381225,0.4301440625,0.4666070929
SVM – speaker,,,,yes,class_weight=balanced,10,6,0.72509865,0.32042347,,0.32108039,0.3207515936,0.83127519,0.87494832,0.8525528182,0.31086957,0.23250916,0.2660392047,0.48112281,0.3326935,0.3933723854,0.48592276,0.4403078425,0.4581790005
SVM – speaker,,,,yes,class_weight=balanced,5,6,0.70181856,0.2877231,,0.31686859,0.3015933382,0.82991675,0.84833419,0.8390244118,0.26991611,0.24322185,0.2558746409,0.40964286,0.2784132,0.3315136255,0.449299705,0.4217094575,0.4320015041
SVM – word,,,,,class_weight=balanced,10,,0.59701221,0.21917729,,0.37340627,0.2762215487,0.87458148,0.66914419,0.7581931523,0.19761812,0.3612631,0.2554823175,0.29345715,0.44250772,0.3528892741,0.39620851,0.46158032,0.4106965731
SVM – word,indo,,,,class_weight=balanced,10,,0.49061995,0.16457848,,0.48350649,0.2455689204,0.87662799,0.48855309,0.6274322426,,,,0.20547808,0.54547964,0.2985097726,0.4155615167,0.5058464067,0.3905036452
SVM – word,,0.7,,,,10,,0.54906087,0.17620605,,0.38247897,0.2412633455,0.76414024,0.67314376,0.7157614422,0.03641587,0.0306145,0.0332641354,0.18986291,0.15628043,0.1714426007,0.2916562675,0.310629415,0.290432881
SVM – word,indo,0.75,,,,10,,0.15762082,0.13153801,,0.97467532,0.2317940826,1,0.03229793,0.0625748228,,,,0.17025364,0.2780614,0.2111950806,0.43393055,0.4283448833,0.1685213286
SVM – word,,,,yes,class_weight=balanced,10,,0.65718342,0.25073828,,0.39312037,0.3061862271,0.8693974,0.75367351,0.8074099363,0.28600071,0.28707924,0.2865389601,0.28590174,0.47961755,0.3582496062,0.4230095325,0.4783726675,0.4395961824
SVM – speaker,,0.75,yes,,,10,12,0.73803111,0.32651515,,0.14728486,0.2030001568,0.7957245,0.92963967,0.8574851321,0.2928877,0.17650716,0.2202698859,0.49575758,0.22599285,0.3104609675,0.4777212325,0.369856135,0.3978040356
SVM – speaker,,,yes,,class_weight=balanced,10,12,0.74125692,0.3431746,,0.10443947,0.1601423,0.78114149,0.9483005,0.8566426279,0.30351038,0.1571851,0.2071099522,0.51619048,0.17572981,0.262197991,0.4860042375,0.34641372,0.3715232178
SVM – speaker,,,yes,,class_weight=balanced,10,6,0.7360998,0.39548872,,0.18671717,0.2536715476,0.79779902,0.91792778,0.8536579172,0.39215812,0.21333333,0.276338824,0.35916632,0.23777527,0.2861280572,0.486153045,0.3889383875,0.4174490865
SVM – speaker,,,yes,yes,class_weight=balanced,10,6,0.74579601,0.43333333,,0.0586293,0.1032843889,0.76745117,0.97382565,0.858408756,0.325,0.08039465,0.128902842,0.44606061,0.15302128,0.2278712364,0.4929612775,0.31646772,0.3296168058
SVM – speaker,,,yes,yes,class_weight=balanced,10,12,0.76003549,0.4,,0.02863095,0.0534370185,0.76613986,0.99306123,0.8649651209,0.73333333,0.09844278,0.1735836622,0.675,0.17688023,0.2803073743,0.6436182975,0.3242537975,0.343073294
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Accuracy,Avg F1,Scaled F1,,,,,,,,,,,,,,
SVM – speaker,"eng, mand, ara",,,,class_weight=balanced,10,6,0.84072193,0.6381803733,0.45727056,0.57024561,0.91579927,0.42849624,,,,,,,,,,,
SVM – speaker,"eng, mand, ara, span",,,,class_weight=balanced,10,6,0.69401473,0.486490295,0.3153203933,0.85208032,0.38819743,0.38038268,0.32530075,,,,,,,,,,
SVM – speaker,"eng, ara",,,,class_weight=balanced,10,6,0.89364924,0.77957667,0.55915334,0.93741633,0.62173701,,,,,,,,,,,,
SVM – speaker,"eng, span",,,,class_weight=balanced,10,6,0.84125758,0.74778463,0.49556926,0.90031981,0.59524945,,,,,,,,,,,,
SVM – speaker,"eng, mand",,yes,,class_weight=balanced,10,6,0.91875,0.753315825,0.50663165,0.95506665,0.551565,,,,,,,,,,,,
SVM – speaker,"eng, ara, span",,,,class_weight=balanced,10,6,0.74823211,0.5820245933,0.37303689,0.86988612,0.45846378,0.41772388,,,,,,,,,,,
SVM – speaker,"eng, indo, afro, sino",,,,class_weight=balanced,10,6,0.70399683,0.5665091925,0.4220122567,0.47345268,0.84951959,0.42436091,0.51870359,,,,,,,,,,
SVM – speaker,"eng, afro, sino",,,,class_weight=balanced,10,6,0.7997505,0.6835684967,0.525352745,0.60324123,0.88667728,0.56078698,,,,,,,,,,,
SVM – speaker,"eng, afro",,,,class_weight=balanced,10,6,0.86699103,0.79156261,0.58312522,0.66696952,0.9161557,,,,,,,,,,,,
SVM – speaker,"eng, other",,,,class_weight=balanced,10,6,0.81808089,0.809681845,0.61936369,0.84917241,0.77019128,,,,,,,,,,,,
SVM – speaker,"eng, afro/sino",,,,class_weight=balanced,10,6,0.83912889,0.81019905,0.6203981,0.88401812,0.73637998,,,,,,,,,,,,
SVM – speaker,"eng, afro/sino",,,,class_weight=balanced,16,6,0.85455518,0.828913345,0.65782669,0.89481298,0.76301371,,,,,,,,,,,,
SVM – speaker,"eng, afro/sino",,,none,class_weight=balanced,16,6,0.86645281,0.84314088,0.68628176,0.90275865,0.78352311,,,,,,,,,,,,
